race,hispan,age_group_5yr,sex,n,weighted
1,0,0-4,1,43601,4324961
1,0,0-4,2,41412,4081400
1,0,5-9,1,49202,4822530
1,0,5-9,2,46448,4568310
1,0,10-14,1,52617,5100475
1,0,10-14,2,49797,4841163
1,0,15-19,1,60263,5538029
1,0,15-19,2,57324,5227359
1,0,20-24,1,53408,5700266
1,0,20-24,2,50217,5372415
1,0,25-29,1,54610,5786685
1,0,25-29,2,52454,5572025
1,0,30-34,1,62681,6202788
1,0,30-34,2,60431,6038997
1,0,35-39,1,63053,6230648
1,0,35-39,2,61723,6043174
1,0,40-44,1,62589,6089045
1,0,40-44,2,61214,5948458
1,0,45-49,1,57865,5513023
1,0,45-49,2,56801,5393799
1,0,50-54,1,66447,6154052
1,0,50-54,2,67196,6031657
1,0,55-59,1,72987,6332818
1,0,55-59,2,76865,6342744
1,0,60-64,1,86950,7196657
1,0,60-64,2,93451,7415706
1,0,65-69,1,87558,6433176
1,0,65-69,2,95348,6948251
1,0,70-74,1,76065,5499518
1,0,70-74,2,83954,6041094
1,0,75-79,1,57814,3956214
1,0,75-79,2,65581,4591136
1,0,80+,1,59656,4088412
1,0,80+,2,85466,5973223
1,1,0-4,1,2439,322839
1,1,0-4,2,2368,309580
1,1,5-9,1,2580,313582
1,1,5-9,2,2486,314190
1,1,10-14,1,2834,346028
1,1,10-14,2,2636,324327
1,1,15-19,1,3090,337478
1,1,15-19,2,3143,336319
1,1,20-24,1,2786,313864
1,1,20-24,2,2955,337867
1,1,25-29,1,2489,280654
1,1,25-29,2,2730,310180
1,1,30-34,1,2268,254970
1,1,30-34,2,2404,282180
1,1,35-39,1,1932,235851
1,1,35-39,2,2096,242903
1,1,40-44,1,1705,206477
1,1,40-44,2,1801,206306
1,1,45-49,1,1456,172226
1,1,45-49,2,1618,176466
1,1,50-54,1,1269,133068
1,1,50-54,2,1467,146613
1,1,55-59,1,1117,117423
1,1,55-59,2,1312,126607
1,1,60-64,1,1007,96832
1,1,60-64,2,1176,108691
1,1,65-69,1,878,76916
1,1,65-69,2,993,83952
1,1,70-74,1,661,53337
1,1,70-74,2,826,69643
1,1,75-79,1,460,39019
1,1,75-79,2,567,44835
1,1,80+,1,501,38108
1,1,80+,2,758,57713
1,2,0-4,1,384,50580
1,2,0-4,2,369,51221
1,2,5-9,1,424,53432
1,2,5-9,2,341,41954
1,2,10-14,1,414,50325
1,2,10-14,2,395,48216
1,2,15-19,1,405,49063
1,2,15-19,2,455,49616
1,2,20-24,1,406,48968
