race,ethnicity,age_group_5yr,sex,n,weighted
White,Not Hispanic/Latino,0-4,Female,42233,4162937
White,Not Hispanic/Latino,0-4,Male,44433,4412880
White,Not Hispanic/Latino,5-9,Female,47420,4671407
White,Not Hispanic/Latino,5-9,Male,50223,4924080
White,Not Hispanic/Latino,10-14,Female,50818,4949391
White,Not Hispanic/Latino,10-14,Male,53720,5213729
White,Not Hispanic/Latino,15-19,Female,58268,5319971
White,Not Hispanic/Latino,15-19,Male,61269,5642612
White,Not Hispanic/Latino,20-24,Female,50822,5444309
White,Not Hispanic/Latino,20-24,Male,54125,5782620
White,Not Hispanic/Latino,25-29,Female,53127,5644353
White,Not Hispanic/Latino,25-29,Male,55228,5859398
White,Not Hispanic/Latino,30-34,Female,61323,6133200
White,Not Hispanic/Latino,30-34,Male,63505,6287751
White,Not Hispanic/Latino,35-39,Female,62703,6143200
White,Not Hispanic/Latino,35-39,Male,63982,6326314
White,Not Hispanic/Latino,40-44,Female,62316,6064559
White,Not Hispanic/Latino,40-44,Male,63636,6198769
White,Not Hispanic/Latino,45-49,Female,57790,5486090
White,Not Hispanic/Latino,45-49,Male,58820,5606408
White,Not Hispanic/Latino,50-54,Female,68174,6124781
White,Not Hispanic/Latino,50-54,Male,67365,6243646
White,Not Hispanic/Latino,55-59,Female,77928,6439265
White,Not Hispanic/Latino,55-59,Male,73914,6413510
White,Not Hispanic/Latino,60-64,Female,94645,7520040
White,Not Hispanic/Latino,60-64,Male,87935,7280018
White,Not Hispanic/Latino,65-69,Female,96333,7025024
White,Not Hispanic/Latino,65-69,Male,88398,6499567
White,Not Hispanic/Latino,70-74,Female,84628,6088896
White,Not Hispanic/Latino,70-74,Male,76661,5544218
White,Not Hispanic/Latino,75-79,Female,66045,4627526
White,Not Hispanic/Latino,75-79,Male,58193,3981764
White,Not Hispanic/Latino,80+,Female,85968,6009945
White,Not Hispanic/Latino,80+,Male,60008,4114225
White,Hispanic/Latino,0-4,Female,9191,1318356
White,Hispanic/Latino,0-4,Male,9510,1387252
White,Hispanic/Latino,5-9,Female,10058,1350277
White,Hispanic/Latino,5-9,Male,10603,1410156
White,Hispanic/Latino,10-14,Female,11015,1451618
White,Hispanic/Latino,10-14,Male,11745,1537105
White,Hispanic/Latino,15-19,Female,13036,1502608
White,Hispanic/Latino,15-19,Male,13465,1569284
White,Hispanic/Latino,20-24,Female,11238,1377594
White,Hispanic/Latino,20-24,Male,11975,1423254
White,Hispanic/Latino,25-29,Female,10551,1284341
White,Hispanic/Latino,25-29,Male,11094,1312239
White,Hispanic/Latino,30-34,Female,10290,1275816
White,Hispanic/Latino,30-34,Male,10649,1301399
White,Hispanic/Latino,35-39,Female,9839,1212843
White,Hispanic/Latino,35-39,Male,9964,1299451
White,Hispanic/Latino,40-44,Female,9250,1152235
White,Hispanic/Latino,40-44,Male,9281,1199638
White,Hispanic/Latino,45-49,Female,9210,1081375
White,Hispanic/Latino,45-49,Male,8744,1118484
White,Hispanic/Latino,50-54,Female,9029,998247
White,Hispanic/Latino,50-54,Male,8378,1003312
White,Hispanic/Latino,55-59,Female,8494,890745
White,Hispanic/Latino,55-59,Male,7571,862004
White,Hispanic/Latino,60-64,Female,7703,758546
White,Hispanic/Latino,60-64,Male,6924,734956
White,Hispanic/Latino,65-69,Female,6415,611160
White,Hispanic/Latino,65-69,Male,5539,548605
White,Hispanic/Latino,70-74,Female,5105,477853
White,Hispanic/Latino,70-74,Male,4141,391528
White,Hispanic/Latino,75-79,Female,3601,330874
White,Hispanic/Latino,75-79,Male,2768,257585
White,Hispanic/Latino,80+,Female,5091,442149
White,Hispanic/Latino,80+,Male,2972,264882
Black or African American,Not Hispanic/Latino,0-4,Female,8029,1483999
Black or African American,Not Hispanic/Latino,0-4,Male,8288,1552363
Black or African American,Not Hispanic/Latino,5-9,Female,9240,1579834
Black or African American,Not Hispanic/Latino,5-9,Male,9576,1609426
Black or African American,Not Hispanic/Latino,10-14,Female,9905,1653620
Black or African American,Not Hispanic/Latino,10-14,Male,10448,1739426
Black or African American,Not Hispanic/Latino,15-19,Female,12454,1668318
Black or African American,Not Hispanic/Latino,15-19,Male,12946,1775066
Black or African American,Not Hispanic/Latino,20-24,Female,10409,1602622
Black or African American,Not Hispanic/Latino,20-24,Male,11615,1618806
Black or African American,Not Hispanic/Latino,25-29,Female,9212,1670641
Black or African American,Not Hispanic/Latino,25-29,Male,10408,1621183
Black or African American,Not Hispanic/Latino,30-34,Female,9891,1796295
Black or African American,Not Hispanic/Latino,30-34,Male,11109,1731335
Black or African American,Not Hispanic/Latino,35-39,Female,9492,1556115
Black or African American,Not Hispanic/Latino,35-39,Male,10169,1469115
Black or African American,Not Hispanic/Latino,40-44,Female,9766,1592260
Black or African American,Not Hispanic/Latino,40-44,Male,9944,1460268
Black or African American,Not Hispanic/Latino,45-49,Female,9180,1370110
Black or African American,Not Hispanic/Latino,45-49,Male,9259,1219555
Black or African American,Not Hispanic/Latino,50-54,Female,10313,1378378
Black or African American,Not Hispanic/Latino,50-54,Male,9658,1234389
Black or African American,Not Hispanic/Latino,55-59,Female,11407,1303904
Black or African American,Not Hispanic/Latino,55-59,Male,10250,1130291
Black or African American,Not Hispanic/Latino,60-64,Female,12800,1401016
Black or African American,Not Hispanic/Latino,60-64,Male,10934,1183708
Black or African American,Not Hispanic/Latino,65-69,Female,12193,1172844
Black or African American,Not Hispanic/Latino,65-69,Male,9764,937891
Black or African American,Not Hispanic/Latino,70-74,Female,9814,935644
Black or African American,Not Hispanic/Latino,70-74,Male,7377,684272
Black or African American,Not Hispanic/Latino,75-79,Female,6549,602405
Black or African American,Not Hispanic/Latino,75-79,Male,4620,409563
Black or African American,Not Hispanic/Latino,80+,Female,8056,701565
Black or African American,Not Hispanic/Latino,80+,Male,4393,380971
Black or African American,Hispanic/Latino,0-4,Female,1178,183577
Black or African American,Hispanic/Latino,0-4,Male,1255,202366
Black or African American,Hispanic/Latino,5-9,Female,1197,169945
Black or African American,Hispanic/Latino,5-9,Male,1222,175237
Black or African American,Hispanic/Latino,10-14,Female,1196,170546
Black or African American,Hispanic/Latino,10-14,Male,1238,173090
Black or African American,Hispanic/Latino,15-19,Female,1197,143035
Black or African American,Hispanic/Latino,15-19,Male,1367,156135
Black or African American,Hispanic/Latino,20-24,Female,1027,119785
Black or African American,Hispanic/Latino,20-24,Male,1088,132338
Black or African American,Hispanic/Latino,25-29,Female,883,109262
Black or African American,Hispanic/Latino,25-29,Male,845,102074
Black or African American,Hispanic/Latino,30-34,Female,925,121103
