race,ethnicity,age_group_5yr,sex,n
(1) White,Not Hispanic/Latino,0-4,(0) Female,44
(1) White,Not Hispanic/Latino,0-4,(1) Male,63
(1) White,Not Hispanic/Latino,5-9,(0) Female,13
(1) White,Not Hispanic/Latino,5-9,(1) Male,26
(1) White,Not Hispanic/Latino,5-9,NA,1
(1) White,Not Hispanic/Latino,10-14,(0) Female,11
(1) White,Not Hispanic/Latino,10-14,(1) Male,26
(1) White,Not Hispanic/Latino,15-19,(0) Female,55
(1) White,Not Hispanic/Latino,15-19,(1) Male,175
(1) White,Not Hispanic/Latino,15-19,NA,1
(1) White,Not Hispanic/Latino,20-24,(0) Female,102
(1) White,Not Hispanic/Latino,20-24,(1) Male,209
(1) White,Not Hispanic/Latino,25-29,(0) Female,82
(1) White,Not Hispanic/Latino,25-29,(1) Male,166
(1) White,Not Hispanic/Latino,30-34,(0) Female,120
(1) White,Not Hispanic/Latino,30-34,(1) Male,238
(1) White,Not Hispanic/Latino,35-39,(0) Female,126
(1) White,Not Hispanic/Latino,35-39,(1) Male,240
(1) White,Not Hispanic/Latino,35-39,NA,1
(1) White,Not Hispanic/Latino,40-44,(0) Female,126
(1) White,Not Hispanic/Latino,40-44,(1) Male,223
(1) White,Not Hispanic/Latino,40-44,NA,2
(1) White,Not Hispanic/Latino,45-49,(0) Female,98
(1) White,Not Hispanic/Latino,45-49,(1) Male,189
(1) White,Not Hispanic/Latino,50-54,(0) Female,90
(1) White,Not Hispanic/Latino,50-54,(1) Male,163
(1) White,Not Hispanic/Latino,55-59,(0) Female,82
(1) White,Not Hispanic/Latino,55-59,(1) Male,181
(1) White,Not Hispanic/Latino,60-64,(0) Female,102
(1) White,Not Hispanic/Latino,60-64,(1) Male,142
(1) White,Not Hispanic/Latino,65-69,(0) Female,71
(1) White,Not Hispanic/Latino,65-69,(1) Male,109
(1) White,Not Hispanic/Latino,70-74,(0) Female,55
(1) White,Not Hispanic/Latino,70-74,(1) Male,77
(1) White,Not Hispanic/Latino,75-79,(0) Female,41
(1) White,Not Hispanic/Latino,75-79,(1) Male,43
(1) White,Not Hispanic/Latino,80+,(0) Female,51
(1) White,Not Hispanic/Latino,80+,(1) Male,52
(1) White,Not Hispanic/Latino,Unknown,(0) Female,11
(1) White,Not Hispanic/Latino,Unknown,(1) Male,12
(1) White,Hispanic/Latino,0-4,(0) Female,25
(1) White,Hispanic/Latino,0-4,(1) Male,35
(1) White,Hispanic/Latino,5-9,(0) Female,8
(1) White,Hispanic/Latino,5-9,(1) Male,8
(1) White,Hispanic/Latino,10-14,(0) Female,17
(1) White,Hispanic/Latino,10-14,(1) Male,27
(1) White,Hispanic/Latino,15-19,(0) Female,68
(1) White,Hispanic/Latino,15-19,(1) Male,326
(1) White,Hispanic/Latino,15-19,NA,1
(1) White,Hispanic/Latino,20-24,(0) Female,86
(1) White,Hispanic/Latino,20-24,(1) Male,316
(1) White,Hispanic/Latino,25-29,(0) Female,56
(1) White,Hispanic/Latino,25-29,(1) Male,264
(1) White,Hispanic/Latino,30-34,(0) Female,70
(1) White,Hispanic/Latino,30-34,(1) Male,289
(1) White,Hispanic/Latino,35-39,(0) Female,49
(1) White,Hispanic/Latino,35-39,(1) Male,212
(1) White,Hispanic/Latino,40-44,(0) Female,39
(1) White,Hispanic/Latino,40-44,(1) Male,174
(1) White,Hispanic/Latino,45-49,(0) Female,31
(1) White,Hispanic/Latino,45-49,(1) Male,107
(1) White,Hispanic/Latino,50-54,(0) Female,24
(1) White,Hispanic/Latino,50-54,(1) Male,98
(1) White,Hispanic/Latino,55-59,(0) Female,23
(1) White,Hispanic/Latino,55-59,(1) Male,53
(1) White,Hispanic/Latino,60-64,(0) Female,17
(1) White,Hispanic/Latino,60-64,(1) Male,28
(1) White,Hispanic/Latino,65-69,(0) Female,7
(1) White,Hispanic/Latino,65-69,(1) Male,25
(1) White,Hispanic/Latino,70-74,(0) Female,8
(1) White,Hispanic/Latino,70-74,(1) Male,7
(1) White,Hispanic/Latino,75-79,(0) Female,2
(1) White,Hispanic/Latino,75-79,(1) Male,6
(1) White,Hispanic/Latino,80+,(0) Female,2
(1) White,Hispanic/Latino,80+,(1) Male,8
(1) White,Hispanic/Latino,Unknown,(0) Female,7
(1) White,Hispanic/Latino,Unknown,(1) Male,10
(1) White,NA,0-4,(0) Female,23
(1) White,NA,0-4,(1) Male,29
(1) White,NA,0-4,NA,1
(1) White,NA,5-9,(0) Female,5
(1) White,NA,5-9,(1) Male,12
(1) White,NA,10-14,(0) Female,9
(1) White,NA,10-14,(1) Male,13
(1) White,NA,15-19,(0) Female,37
(1) White,NA,15-19,(1) Male,94
(1) White,NA,20-24,(0) Female,43
(1) White,NA,20-24,(1) Male,83
(1) White,NA,25-29,(0) Female,41
(1) White,NA,25-29,(1) Male,91
(1) White,NA,25-29,NA,1
(1) White,NA,30-34,(0) Female,57
(1) White,NA,30-34,(1) Male,99
(1) White,NA,35-39,(0) Female,52
(1) White,NA,35-39,(1) Male,96
(1) White,NA,35-39,NA,1
(1) White,NA,40-44,(0) Female,60
(1) White,NA,40-44,(1) Male,96
(1) White,NA,45-49,(0) Female,33
(1) White,NA,45-49,(1) Male,77
(1) White,NA,50-54,(0) Female,35
(1) White,NA,50-54,(1) Male,64
(1) White,NA,55-59,(0) Female,32
(1) White,NA,55-59,(1) Male,86
(1) White,NA,60-64,(0) Female,34
(1) White,NA,60-64,(1) Male,59
(1) White,NA,65-69,(0) Female,22
(1) White,NA,65-69,(1) Male,42
(1) White,NA,70-74,(0) Female,20
(1) White,NA,70-74,(1) Male,24
(1) White,NA,75-79,(0) Female,16
(1) White,NA,75-79,(1) Male,19
(1) White,NA,80+,(0) Female,26
(1) White,NA,80+,(1) Male,13
(1) White,NA,Unknown,(0) Female,2
(1) White,NA,Unknown,(1) Male,12
(1) White,NA,Unknown,NA,1
(2) Black or African American,Not Hispanic/Latino,0-4,(0) Female,65
(2) Black or African American,Not Hispanic/Latino,0-4,(1) Male,79
(2) Black or African American,Not Hispanic/Latino,5-9,(0) Female,23
(2) Black or African American,Not Hispanic/Latino,5-9,(1) Male,30
(2) Black or African American,Not Hispanic/Latino,10-14,(0) Female,36
(2) Black or African American,Not Hispanic/Latino,10-14,(1) Male,99
(2) Black or African American,Not Hispanic/Latino,15-19,(0) Female,136
(2) Black or African American,Not Hispanic/Latino,15-19,(1) Male,885
(2) Black or African American,Not Hispanic/Latino,20-24,(0) Female,161
(2) Black or African American,Not Hispanic/Latino,20-24,(1) Male,1043
(2) Black or African American,Not Hispanic/Latino,25-29,(0) Female,148
(2) Black or African American,Not Hispanic/Latino,25-29,(1) Male,916
(2) Black or African American,Not Hispanic/Latino,30-34,(0) Female,141
(2) Black or African American,Not Hispanic/Latino,30-34,(1) Male,866
(2) Black or African American,Not Hispanic/Latino,35-39,(0) Female,96
(2) Black or African American,Not Hispanic/Latino,35-39,(1) Male,561
(2) Black or African American,Not Hispanic/Latino,35-39,NA,1
(2) Black or African American,Not Hispanic/Latino,40-44,(0) Female,106
(2) Black or African American,Not Hispanic/Latino,40-44,(1) Male,481
(2) Black or African American,Not Hispanic/Latino,45-49,(0) Female,71
(2) Black or African American,Not Hispanic/Latino,45-49,(1) Male,319
(2) Black or African American,Not Hispanic/Latino,50-54,(0) Female,45
(2) Black or African American,Not Hispanic/Latino,50-54,(1) Male,223
(2) Black or African American,Not Hispanic/Latino,55-59,(0) Female,62
(2) Black or African American,Not Hispanic/Latino,55-59,(1) Male,192
(2) Black or African American,Not Hispanic/Latino,60-64,(0) Female,23
(2) Black or African American,Not Hispanic/Latino,60-64,(1) Male,124
(2) Black or African American,Not Hispanic/Latino,65-69,(0) Female,25
(2) Black or African American,Not Hispanic/Latino,65-69,(1) Male,86
(2) Black or African American,Not Hispanic/Latino,70-74,(0) Female,23
(2) Black or African American,Not Hispanic/Latino,70-74,(1) Male,32
(2) Black or African American,Not Hispanic/Latino,75-79,(0) Female,8
(2) Black or African American,Not Hispanic/Latino,75-79,(1) Male,6
(2) Black or African American,Not Hispanic/Latino,80+,(0) Female,11
(2) Black or African American,Not Hispanic/Latino,80+,(1) Male,10
(2) Black or African American,Not Hispanic/Latino,Unknown,(0) Female,10
(2) Black or African American,Not Hispanic/Latino,Unknown,(1) Male,36
(2) Black or African American,Not Hispanic/Latino,Unknown,NA,1
(2) Black or African American,Hispanic/Latino,0-4,(0) Female,2
(2) Black or African American,Hispanic/Latino,0-4,(1) Male,2
(2) Black or African American,Hispanic/Latino,5-9,(0) Female,1
(2) Black or African American,Hispanic/Latino,10-14,(0) Female,1
(2) Black or African American,Hispanic/Latino,15-19,(0) Female,1
(2) Black or African American,Hispanic/Latino,15-19,(1) Male,12
(2) Black or African American,Hispanic/Latino,20-24,(0) Female,1
(2) Black or African American,Hispanic/Latino,20-24,(1) Male,18
(2) Black or African American,Hispanic/Latino,25-29,(1) Male,7
(2) Black or African American,Hispanic/Latino,30-34,(0) Female,1
(2) Black or African American,Hispanic/Latino,30-34,(1) Male,10
(2) Black or African American,Hispanic/Latino,35-39,(0) Female,2
(2) Black or African American,Hispanic/Latino,35-39,(1) Male,9
