race,ethnicity,age_group_5yr,sex,n_victims,n_offenders
(1) White,Not Hispanic/Latino,0-4,(0) Female,44,0
(1) White,Not Hispanic/Latino,0-4,(1) Male,63,0
(1) White,Not Hispanic/Latino,5-9,(0) Female,13,0
(1) White,Not Hispanic/Latino,5-9,(1) Male,26,1
(1) White,Not Hispanic/Latino,5-9,NA,1,0
(1) White,Not Hispanic/Latino,10-14,(0) Female,11,2
(1) White,Not Hispanic/Latino,10-14,(1) Male,26,13
(1) White,Not Hispanic/Latino,15-19,(0) Female,55,42
(1) White,Not Hispanic/Latino,15-19,(1) Male,175,229
(1) White,Not Hispanic/Latino,15-19,NA,1,0
(1) White,Not Hispanic/Latino,20-24,(0) Female,102,75
(1) White,Not Hispanic/Latino,20-24,(1) Male,209,279
(1) White,Not Hispanic/Latino,25-29,(0) Female,82,72
(1) White,Not Hispanic/Latino,25-29,(1) Male,166,254
(1) White,Not Hispanic/Latino,30-34,(0) Female,120,88
(1) White,Not Hispanic/Latino,30-34,(1) Male,238,265
(1) White,Not Hispanic/Latino,35-39,(0) Female,126,78
(1) White,Not Hispanic/Latino,35-39,(1) Male,240,239
(1) White,Not Hispanic/Latino,35-39,NA,1,1
(1) White,Not Hispanic/Latino,40-44,(0) Female,126,63
(1) White,Not Hispanic/Latino,40-44,(1) Male,223,224
(1) White,Not Hispanic/Latino,40-44,NA,2,0
(1) White,Not Hispanic/Latino,45-49,(0) Female,98,32
(1) White,Not Hispanic/Latino,45-49,(1) Male,189,150
(1) White,Not Hispanic/Latino,45-49,NA,0,1
(1) White,Not Hispanic/Latino,50-54,(0) Female,90,24
(1) White,Not Hispanic/Latino,50-54,(1) Male,163,130
(1) White,Not Hispanic/Latino,55-59,(0) Female,82,25
(1) White,Not Hispanic/Latino,55-59,(1) Male,181,119
(1) White,Not Hispanic/Latino,60-64,(0) Female,102,13
(1) White,Not Hispanic/Latino,60-64,(1) Male,142,100
(1) White,Not Hispanic/Latino,65-69,(0) Female,71,6
(1) White,Not Hispanic/Latino,65-69,(1) Male,109,48
